turma,p1.q.1.1,p1.q.1.2,p1.q.1.3,p1.q.2,p1.q.3,p1.q.4.1,p1.q.4.2,p1.q.4.3,p1.q.4.4,p1.q.5.1,p1.q.5.2,p1.q.5.3,p1.q.5.4,p1.q.5.5,p1.q.5.6,p1.q.6.1,p1.q.6.2,p1.q.6.3,p2.q.1,p2.q.2,p2.q.3,p2.q.4,p2.q.5,p2.q.6.1,p2.q.6.2,p2.q.6.3,p2.q.6.4,Eu tenho facilidade para mexer em celulares do tipo smartphone:,"Eu tenho facilidade para mexer em computadores, seja do tipo Notebook ou Desktop:",Eu gosto da disciplina de Matemática:,"Eu gosto do conteúdo de Geometria Analítica, dentro da disciplina de Matemática: ",Me sinto confortável realizando cálculos sobre equações da reta: ,Me sinto confortável realizando cálculos sobre equações de circunferência: ,Eu tive facilidade em mexer na ferramenta:,"A ferramenta apresenta poucos bugs (ou seja, erros no seu código):",A ferramenta me ajudou na compreensão de conceitos de Geometria Analítica:,A ferramenta me ajudou a identificar as características da equação da reta:,A ferramenta me ajudou a identificar as características da equação da circunferência:,A ferramenta mudou minha percepção da disciplina de Matemática de maneira positiva:,A ferramenta mudou minha percepção sobre o conteúdo de Geometria Analítica de maneira positiva:,Eu utilizaria esta ferramenta nos meus estudos de Geometria Analítica:
eletro,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,meio,meio,errado,errado,concordo totalmente,concordo totalmente,concordo,discordo totalmente,discordo,discordo,concordo,concordo,concordo,concordo,neutro,concordo,concordo,usaria
eletro,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,errado,errado,errado,certo,certo,certo,certo,certo,certo,certo,errado,errado,concordo totalmente,concordo,neutro,neutro,concordo,concordo,neutro,concordo,concordo,concordo,concordo,concordo,concordo,usaria
eletro,certo,certo,certo,errado,certo,certo,certo,certo,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,certo,errado,errado,concordo totalmente,concordo totalmente,neutro,discordo,neutro,neutro,concordo,neutro,neutro,neutro,neutro,neutro,neutro,usaria
eletro,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,certo,errado,errado,concordo,concordo,concordo,concordo,neutro,discordo,concordo,discordo,concordo,concordo,concordo,neutro,neutro,não usaria
eletro,certo,certo,certo,errado,errado,certo,certo,certo,errado,certo,errado,certo,errado,certo,certo,errado,errado,errado,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo,concordo,concordo,neutro,discordo,discordo,concordo,concordo,neutro,concordo,neutro,neutro,neutro,usaria
eletro,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,errado,errado,concordo totalmente,concordo totalmente,concordo totalmente,concordo,concordo,neutro,concordo totalmente,neutro,neutro,concordo,neutro,discordo,neutro,não usaria
eletro,certo,certo,certo,errado,certo,errado,errado,errado,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,errado,errado,certo,errado,errado,meio,meio,errado,errado,concordo totalmente,concordo totalmente,concordo,discordo totalmente,discordo totalmente,discordo,concordo totalmente,concordo totalmente,neutro,concordo totalmente,concordo totalmente,discordo totalmente,discordo totalmente,usaria
eletro,certo,certo,certo,certo,certo,certo,errado,certo,certo,certo,errado,certo,errado,certo,certo,errado,errado,errado,errado,errado,certo,certo,certo,certo,meio,errado,errado,concordo,concordo,concordo,neutro,neutro,discordo,neutro,neutro,concordo,concordo,neutro,concordo,concordo,usaria
eletro,certo,certo,certo,errado,errado,certo,certo,certo,meio,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,certo,meio,errado,errado,concordo totalmente,concordo totalmente,neutro,discordo,discordo totalmente,discordo totalmente,discordo,neutro,discordo,concordo,discordo,discordo totalmente,neutro,não usaria
info,certo,certo,certo,errado,errado,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,errado,errado,certo,certo,errado,errado,concordo,concordo,concordo totalmente,concordo,concordo,neutro,discordo,neutro,neutro,concordo,discordo,neutro,concordo,usaria
info,errado,errado,certo,errado,errado,errado,errado,errado,certo,certo,errado,certo,errado,certo,certo,errado,errado,errado,certo,certo,certo,certo,errado,certo,certo,errado,errado,concordo totalmente,concordo totalmente,concordo,discordo totalmente,discordo,discordo,concordo totalmente,concordo totalmente,concordo,concordo,concordo,concordo,concordo,usaria
info,errado,errado,certo,errado,certo,certo,certo,certo,errado,certo,errado,certo,errado,certo,certo,certo,errado,certo,certo,certo,certo,errado,certo,certo,meio,errado,errado,concordo totalmente,concordo totalmente,concordo,neutro,concordo,discordo,concordo,concordo,discordo,neutro,neutro,neutro,neutro,não usaria
info,errado,errado,certo,certo,certo,errado,errado,errado,meio,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,meio,meio,errado,errado,concordo totalmente,concordo,discordo,neutro,neutro,neutro,concordo,concordo,concordo,concordo,concordo,neutro,neutro,usaria
info,errado,errado,certo,errado,certo,certo,certo,errado,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,errado,certo,certo,errado,errado,certo,certo,errado,errado,concordo totalmente,concordo,discordo,neutro,discordo,discordo,concordo,neutro,concordo,concordo,concordo,concordo,concordo,usaria
info,certo,certo,certo,certo,errado,certo,certo,certo,certo,certo,errado,errado,errado,errado,errado,certo,certo,certo,certo,certo,certo,errado,certo,certo,certo,errado,errado,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,neutro,concordo,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,usaria
info,certo,errado,certo,errado,errado,errado,errado,errado,errado,certo,errado,certo,errado,certo,certo,errado,errado,errado,certo,certo,certo,certo,errado,certo,meio,errado,errado,concordo totalmente,discordo,concordo totalmente,concordo,neutro,discordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,usaria
info,errado,errado,certo,errado,certo,errado,errado,errado,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,certo,meio,errado,errado,concordo,concordo,concordo totalmente,concordo totalmente,neutro,neutro,concordo totalmente,neutro,concordo,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,usaria
info,certo,certo,certo,errado,certo,certo,certo,certo,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,certo,certo,errado,errado,concordo,concordo,concordo totalmente,concordo,concordo,neutro,concordo,concordo totalmente,concordo,concordo,discordo,concordo totalmente,concordo,usaria
info,certo,certo,certo,errado,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,errado,errado,certo,meio,errado,errado,concordo,concordo,concordo,neutro,neutro,neutro,concordo,neutro,neutro,discordo,concordo,neutro,neutro,usaria
info,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,errado,concordo,concordo,concordo,concordo,concordo,neutro,neutro,concordo,neutro,neutro,neutro,neutro,concordo,usaria
info,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo,neutro,concordo,concordo,neutro,concordo,concordo,concordo,concordo,não usaria
info,certo,errado,errado,errado,errado,errado,errado,errado,errado,certo,errado,certo,errado,certo,certo,errado,certo,errado,certo,certo,errado,errado,certo,certo,certo,errado,errado,concordo totalmente,concordo totalmente,neutro,neutro,discordo,concordo,concordo totalmente,neutro,concordo,concordo,concordo,neutro,neutro,não usaria
info,certo,certo,certo,errado,errado,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,errado,errado,errado,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo totalmente,concordo,neutro,neutro,concordo,neutro,concordo,concordo,neutro,concordo,neutro,neutro,neutro,não usaria
info,certo,certo,certo,certo,errado,errado,errado,certo,meio,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,errado,errado,concordo totalmente,concordo totalmente,concordo totalmente,concordo,concordo,concordo,concordo,concordo,concordo,concordo totalmente,concordo totalmente,concordo,concordo,usaria
info,certo,certo,certo,certo,certo,certo,certo,errado,meio,certo,errado,certo,errado,certo,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo totalmente,concordo,concordo,discordo,concordo,neutro,concordo,concordo,concordo,concordo totalmente,concordo totalmente,concordo,neutro,usaria
info,certo,certo,certo,errado,certo,certo,certo,errado,errado,certo,errado,certo,errado,certo,certo,errado,errado,errado,certo,certo,certo,errado,certo,certo,certo,errado,errado,concordo totalmente,neutro,concordo,discordo,concordo,neutro,concordo,concordo,neutro,discordo totalmente,discordo,neutro,neutro,usaria
info,certo,certo,certo,errado,certo,errado,errado,errado,errado,certo,errado,certo,errado,certo,errado,certo,certo,certo,errado,certo,certo,errado,errado,errado,errado,errado,errado,neutro,neutro,discordo totalmente,discordo totalmente,discordo totalmente,neutro,discordo,discordo,neutro,neutro,neutro,discordo totalmente,discordo totalmente,usaria
info,certo,errado,certo,errado,errado,errado,errado,errado,errado,certo,errado,errado,errado,errado,certo,certo,certo,certo,certo,certo,errado,errado,errado,meio,errado,errado,errado,concordo,concordo,neutro,neutro,discordo,discordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,usaria
mec,certo,certo,certo,errado,errado,errado,errado,errado,errado,certo,errado,certo,errado,certo,certo,errado,errado,errado,errado,errado,certo,errado,errado,certo,meio,errado,errado,concordo,concordo,discordo,discordo totalmente,discordo,discordo,concordo,concordo,concordo,concordo,neutro,neutro,neutro,usaria
mec,errado,errado,certo,errado,errado,certo,certo,certo,meio,certo,errado,certo,errado,certo,certo,certo,errado,errado,errado,certo,certo,errado,certo,certo,errado,errado,errado,concordo,concordo,concordo,neutro,concordo,neutro,concordo totalmente,concordo,concordo,concordo,concordo,neutro,concordo,usaria
mec,certo,certo,certo,certo,errado,errado,errado,errado,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,errado,errado,errado,concordo,concordo totalmente,neutro,discordo,neutro,neutro,concordo,concordo totalmente,concordo,concordo,concordo,neutro,neutro,usaria
mec,errado,errado,certo,errado,certo,errado,errado,errado,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,meio,errado,errado,concordo totalmente,concordo totalmente,neutro,neutro,discordo totalmente,discordo totalmente,concordo,concordo totalmente,neutro,concordo,concordo,neutro,neutro,usaria
mec,errado,errado,certo,errado,certo,errado,errado,errado,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,meio,errado,errado,concordo,concordo,discordo,discordo,discordo,discordo totalmente,concordo,concordo,concordo,concordo,concordo,concordo,concordo,usaria
mec,certo,certo,certo,certo,certo,certo,errado,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo,concordo,concordo totalmente,neutro,concordo,discordo,concordo totalmente,concordo totalmente,concordo,concordo,neutro,concordo,neutro,usaria
mec,errado,errado,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo totalmente,neutro,neutro,neutro,neutro,discordo,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,usaria
mec,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,errado,errado,concordo totalmente,concordo,concordo totalmente,neutro,concordo totalmente,concordo,concordo totalmente,concordo totalmente,concordo,concordo,concordo,concordo,neutro,usaria
mec,certo,certo,certo,errado,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo totalmente,concordo totalmente,concordo,neutro,concordo,discordo,concordo totalmente,concordo totalmente,concordo,concordo totalmente,concordo totalmente,neutro,concordo,usaria
mec,certo,certo,certo,certo,errado,certo,certo,certo,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,errado,errado,concordo totalmente,concordo,concordo totalmente,concordo,concordo,concordo,concordo,concordo,concordo,concordo,concordo,discordo,discordo,não usaria
mec,errado,errado,certo,errado,errado,errado,errado,errado,errado,certo,errado,certo,errado,certo,errado,certo,certo,certo,errado,errado,errado,errado,errado,meio,meio,errado,errado,concordo totalmente,concordo,concordo,neutro,discordo,discordo,neutro,concordo totalmente,neutro,concordo,neutro,neutro,neutro,usaria
mec,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo,concordo,concordo,discordo totalmente,concordo,discordo,concordo totalmente,concordo,neutro,concordo,concordo,neutro,discordo,usaria
