Carimbo de data/hora,turma,Qual número você recebeu no começo do experimento?,Eu tive facilidade em mexer na ferramenta:,"A ferramenta apresenta poucos bugs (ou seja, erros no seu código):",A ferramenta me ajudou na compreensão de conceitos de Geometria Analítica:,A ferramenta me ajudou a identificar as características da equação da reta:,A ferramenta me ajudou a identificar as características da equação da circunferência:,A ferramenta mudou minha percepção da disciplina de Matemática de maneira positiva:,A ferramenta mudou minha percepção sobre o conteúdo de Geometria Analítica de maneira positiva:,Eu utilizaria esta ferramenta nos meus estudos de Geometria Analítica:,Algum outro comentário?
25/11/2022 11:25:11,eletro,40,concordo,concordo,concordo,concordo,neutro,concordo,concordo,concordo,"tivemos pouco tempo para utilizar a ferramenta, mas eu gostei "
25/11/2022 11:25:08,eletro,41,neutro,concordo,concordo,concordo,concordo,concordo,concordo,concordo,Melhorar o manuseio do zoom
25/11/2022 11:26:35,eletro,54,concordo,neutro,neutro,neutro,neutro,neutro,neutro,concordo totalmente,pruu pruu!!! Richarlison é goleador!! #tropadopombo!!
25/11/2022 11:24:17,eletro,63,concordo,discordo,concordo,concordo,concordo,neutro,neutro,neutro,Vamo pra cima Grêmio
25/11/2022 11:25:25,eletro,72,concordo,concordo,neutro,concordo,neutro,neutro,neutro,concordo,
25/11/2022 11:24:37,eletro,78,concordo totalmente,neutro,neutro,concordo,neutro,discordo,neutro,discordo,
25/11/2022 11:24:06,eletro,80,concordo totalmente,concordo totalmente,neutro,concordo totalmente,concordo totalmente,discordo totalmente,discordo totalmente,concordo,
25/11/2022 11:25:17,eletro,81,neutro,neutro,concordo,concordo,neutro,concordo,concordo,concordo,
25/11/2022 11:24:09,eletro,82,discordo,neutro,discordo,concordo,discordo,discordo totalmente,neutro,discordo,
29/11/2022 10:40:20,info,12,discordo,neutro,neutro,concordo,discordo,neutro,concordo,concordo,"é meio ruim de controlar o zoom,é lentinho o site e poderia talvez haver mais instruções para inserir as informações, mas a ideia é promissora"
29/11/2022 10:39:00,info,15,concordo totalmente,concordo totalmente,concordo,concordo,concordo,concordo,concordo,concordo totalmente,
29/11/2022 10:40:25,info,19,concordo,concordo,discordo,neutro,neutro,neutro,neutro,neutro,"não percebo a ferramenta como meio didático, mas sim como meio de conferir equações/ coeficientes/etc de questões"
29/11/2022 10:37:58,info,32,concordo,concordo,concordo,concordo,concordo,neutro,neutro,concordo,
29/11/2022 10:38:41,info,33,concordo,neutro,concordo,concordo,concordo,concordo,concordo,concordo,
29/11/2022 10:39:50,info,34,concordo totalmente,neutro,concordo,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,"Achei muito legal a ideia do site, é de fato uma ferramenta muto interessante para o aprendizado da matéria. O que eu mudaria seria o layout, para algo mais atrativo!"
29/11/2022 10:39:46,info,36,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,"A ferramenta me ajudou a corrigir erros que cometi na primeira avaliação, como por exemplo, não dividir o resto da equação com o valor encontrado junto ao y na equação reduzida da reta e identificar a equação reduzida da cirncunferência."
29/11/2022 10:38:44,info,42,concordo totalmente,neutro,concordo,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,
29/11/2022 10:39:18,info,43,concordo,concordo totalmente,concordo,concordo,discordo,concordo totalmente,concordo,concordo totalmente,"Seria legal ter como adicionar dois pontos e mostrar a equação da reta. Fora isso adorei o site, achei muito válido para o estudo da geo. analítica."
29/11/2022 10:39:02,info,45,concordo,neutro,neutro,discordo,concordo,neutro,neutro,concordo,
29/11/2022 10:42:35,info,50,neutro,concordo,neutro,neutro,neutro,neutro,concordo,concordo,"a imagem do fundo se mover de maneira diferente dos demais itens na tela me incomodou, além da disposição do plano cartesiano, que pode causar confusões, principalmente se tratando da circunferência, já que no eixo das coordenadas, cresce de 10 em 10, e no das abscissas, cresce de 2 em 2. entretanto a ferramenta é útil para o aprendizado da geometria analítica."
29/11/2022 10:38:29,info,56,concordo,concordo,neutro,concordo,concordo,concordo,concordo,discordo totalmente,"interface poderia ser melhor, incomoda quem tem toc e as cores atrapalham na concentraçãp"
29/11/2022 10:39:15,info,62,concordo totalmente,neutro,concordo,concordo,concordo,neutro,neutro,neutro,
29/11/2022 10:52:31,info,65,concordo,concordo,neutro,concordo,neutro,neutro,neutro,neutro,"Eu utilizaria a ferramenta, acho que só se o professor usaria em aula, acho que essas ferramentas não são tão utilizadas por alunos, mas talvez para correção de algo.

O site quebra, ate teve uma intenção de responsividade mas ele esta quebrando. 

O (menu) não faz muito sentido para mim porque é um site pagina pequena então nao teria nescessidade(não seria utilizado).

Outro problema e tem que colocar igual a formatação do exemplo, poderia pelo menos se ter so os espaços para colocar os numeros para nao prescisar colocar o molde.

O grafico poderia ser maior esta estranho.

As cores estão meio chamativas de mais poderia ser algo mais 3 ja que algo educativo.

Como um teste esta bom"
29/11/2022 10:37:38,info,71,concordo,concordo,concordo,concordo totalmente,concordo totalmente,concordo,concordo,concordo,
29/11/2022 10:38:22,info,74,concordo,concordo,concordo,concordo totalmente,concordo totalmente,concordo,neutro,concordo,
29/11/2022 10:40:04,info,75,concordo,concordo,neutro,discordo totalmente,discordo,neutro,neutro,concordo,a ferramenta poderia determinar retas a partir de pontos 
29/11/2022 10:37:53,info,77,discordo,discordo,neutro,neutro,neutro,discordo totalmente,discordo totalmente,concordo,
29/11/2022 10:37:29,info,89,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,
13/12/2022 09:05:31,mec,11,concordo,concordo,concordo,concordo,neutro,neutro,neutro,concordo,
13/12/2022 09:06:07,mec,13,concordo totalmente,concordo,concordo,concordo,concordo,neutro,concordo,concordo totalmente,
13/12/2022 09:04:00,mec,18,concordo,concordo totalmente,concordo,concordo,concordo,neutro,neutro,concordo totalmente,
13/12/2022 09:03:47,mec,30,concordo,concordo totalmente,neutro,concordo,concordo,neutro,neutro,concordo totalmente,
13/12/2022 09:05:16,mec,39,concordo,concordo,concordo,concordo,concordo,concordo,concordo,concordo,
13/12/2022 09:06:54,mec,47,concordo totalmente,concordo totalmente,concordo,concordo,neutro,concordo,neutro,concordo,o gráfico da minha circunferência ficou oval tendo essa configuração (x-2)^2+(y-2)^2=9
13/12/2022 09:04:23,mec,49,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,"NÃO
"
13/12/2022 09:06:05,mec,51,concordo totalmente,concordo totalmente,concordo,concordo,concordo,concordo,neutro,concordo,
13/12/2022 09:04:16,mec,69,concordo totalmente,concordo totalmente,concordo,concordo totalmente,concordo totalmente,neutro,concordo,concordo,
13/12/2022 09:06:56,mec,70,concordo,concordo,concordo,concordo,concordo,discordo,discordo,neutro,Não.
13/12/2022 09:04:30,mec,73,neutro,concordo totalmente,neutro,concordo,neutro,neutro,neutro,concordo,
13/12/2022 09:03:25,mec,88,concordo totalmente,concordo,neutro,concordo,concordo,neutro,discordo,concordo,
